SpeciesName,NativeStatus,SpeciesCategory,SpeciesKingdom
Allograpta obliqua,Non-native,Insect,Animal
Alopochen aegyptiaca,Non-native,Avian,Animal
Anas americana,Non-native,Avian,Animal
Anas cyanoptera,Non-native,Avian,Animal
Anthopleura sola,Non-native,Marine invertebrate,Animal
Apis mellifera,Non-native,Insect,Animal
Armadillidium vulgare,Non-native,Insect,Animal
Arundo donax,Non-native,Plant,Plant
Cairina moschata,Non-native,Avian,Animal
Cenchrus setaceus,Non-native,Plant,Plant
Chlorophyllum molybdites,Non-native,Fungi,Fungi
Cleomella arborea,Non-native,Plant,Plant
Coccinella septempunctata,Non-native,Insect,Animal
Columba livia,Non-native,Avian,Animal
Cornu aspersum,Non-native,Mollusc,Animal
Cotinis mutabilis,Non-native,Insect,Animal
Cycloneda sanguinea,Non-native,Insect,Animal
Deroceras reticulatum,Non-native,Mollusc,Animal
Dichelostemma capitatum,Non-native,Plant,Plant
Didelphis virginiana,Non-native,Marsupial,Animal
Eleodes osculans,Non-native,Insect,Animal
Erodium cicutarium,Non-native,Plant,Plant
Ficus carica,Non-native,Plant,Plant
Foeniculum vulgare,Non-native,Plant,Plant
Gryllodes sigillatus,Non-native,Insect,Animal
Harmonia axyridis,Non-native,Insect,Animal
Hippodamia convergens,Non-native,Insect,Animal
Laetiporus gilbertsonii,Non-native,Fungi,Fungi
Latrodectus geometricus,Non-native,Arachnid,Animal
Linepithema humile,Non-native,Insect,Animal
Lithobates catesbeianus,Non-native,Amphibian,Animal
Lobularia maritima,Non-native,Plant,Plant
Marrubium vulgare,Non-native,Plant,Plant
Nicotiana glauca,Non-native,Plant,Plant
Nuttallina californica,Non-native,Marine invertebrate,Animal
Oncopeltus fasciatus,Non-native,Insect,Animal
Otala lactea,Non-native,Mollusc,Animal
Oxalis pes-caprae,Non-native,Plant,Plant
Pachygrapsus crassipes,Non-native,Marine invertebrate,Animal
Pagurus samuelis,Non-native,Marine invertebrate,Animal
Passer domesticus,Non-native,Avian,Animal
Phidippus audax,Non-native,Arachnid,Animal
Phloeodes diabolicus,Non-native,Insect,Animal
Raphanus sativus,Non-native,Plant,Plant
Ricinus communis,Non-native,Plant,Plant
Rumina decollata,Non-native,Mollusc,Animal
Sambucus cerulea,Non-native,Plant,Plant
Sayornis phoebe,Non-native,Avian,Animal
Schinus molle,Non-native,Plant,Plant
Schistocerca nitens,Non-native,Insect,Animal
Sciurus niger,Non-native,Mammal,Animal
Sinapis incana,Non-native,Plant,Plant
Steatoda nobilis,Non-native,Arachnid,Animal
Strongylocentrotus purpuratus,Non-native,Marine invertebrate,Animal
Sturnus vulgaris,Non-native,Avian,Animal
Syrmatium glabrum,Non-native,Plant,Plant
Theba pisana,Non-native,Mollusc,Animal
Trachemys scripta,Non-native,Reptile,Animal
Vinca major,Non-native,Plant,Plant
Accipiter cooperii,Native,Avian,Animal
Adenostoma fasciculatum,Native,Plant,Plant
Agelaius phoeniceus,Native,Avian,Animal
Agraulis vanillae,Native,Insect,Animal
Anas platyrhynchos,Native,Avian,Animal
Aphelocoma californica,Native,Avian,Animal
Ardea alba,Native,Avian,Animal
Ardea herodias,Native,Avian,Animal
Artemisia californica,Native,Plant,Plant
Aythya collaris,Native,Avian,Animal
Baccharis pilularis,Native,Plant,Plant
Baccharis salicifolia,Native,Plant,Plant
Bombus sonorus,Native,Insect,Animal
Branta canadensis,Native,Avian,Animal
Brickellia californica,Native,Plant,Plant
Bucephala albeola,Native,Avian,Animal
Buteo jamaicensis,Native,Avian,Animal
Buteo lineatus,Native,Avian,Animal
Butorides virescens,Native,Avian,Animal
Calypte anna,Native,Avian,Animal
Canis latrans,Native,Mammal,Animal
Cathartes aura,Native,Avian,Animal
Charadrius vociferus,Native,Avian,Animal
Claytonia perfoliata,Native,Plant,Plant
Corvus brachyrhynchos,Native,Avian,Animal
Corvus corax,Native,Avian,Animal
Danaus plexippus,Native,Insect,Animal
Datura wrightii,Native,Plant,Plant
Diplacus longiflorus,Native,Plant,Plant
Dryobates nuttallii,Native,Avian,Animal
Egretta thula,Native,Avian,Animal
Elgaria multicarinata,Native,Reptile,Animal
Encelia californica,Native,Plant,Plant
Epilobium canum,Native,Plant,Plant
Eriogonum fasciculatum,Native,Plant,Plant
Eriophyllum confertiflorum,Native,Plant,Plant
Eschscholzia californica,Native,Plant,Plant
Euphagus cyanocephalus,Native,Avian,Animal
Euphorbia maculata,Native,Plant,Plant
Euphorbia peplus,Native,Plant,Plant
Falco sparverius,Native,Avian,Animal
Fulica americana,Native,Avian,Animal
Haemorhous mexicanus,Native,Avian,Animal
Hesperoyucca whipplei,Native,Plant,Plant
Heteromeles arbutifolia,Native,Plant,Plant
Heterotheca grandiflora,Native,Plant,Plant
Himantopus mexicanus,Native,Avian,Animal
Hylephila phyleus,Native,Insect,Animal
Hyles lineata,Native,Insect,Animal
Icterus cucullatus,Native,Avian,Animal
Juglans californica,Native,Plant,Animal
Junco hyemalis,Native,Avian,Animal
Keckiella cordifolia,Native,Plant,Plant
Lactuca serriola,Native,Plant,Plant
Larus occidentalis,Native,Avian,Animal
Leiothlypis celata,Native,Avian,Animal
Leptotes marina,Native,Insect,Animal
Libellula saturata,Native,Insect,Animal
Lysimachia arvensis,Native,Plant,Plant
Malacothrix saxatilis,Native,Plant,Plant
Malosma laurina,Native,Plant,Plant
Malva parviflora,Native,Plant,Plant
Marah macrocarpa,Native,Plant,Plant
Megaceryle alcyon,Native,Avian,Animal
Melanerpes formicivorus,Native,Avian,Animal
Melospiza melodia,Native,Avian,Animal
Melozone crissalis,Native,Avian,Animal
Mimus polyglottos,Native,Avian,Animal
Nycticorax nycticorax,Native,Avian,Animal
Nymphalis antiopa,Native,Insect,Animal
Odocoileus hemionus,Native,Mammal,Animal
Otospermophilus beecheyi,Native,Mammal,Animal
Papilio rumiko,Native,Insect,Animal
Papilio rutulus,Native,Insect,Animal
Pelecanus erythrorhynchos,Native,Avian,Animal
Phalacrocorax auritus,Native,Avian,Animal
Pieris rapae,Native,Insect,Animal
Pipilo maculatus,Native,Avian,Animal
Pituophis catenifer,Native,Reptile,Animal
Platanus racemosa,Native,Plant,Plant
Podilymbus podiceps,Native,Avian,Animal
Polistes exclamans,Native,Insect,Animal
Procyon lotor,Native,Mammal,Animal
Prunus ilicifolia,Native,Plant,Plant
Psaltriparus minimus,Native,Avian,Animal
Pseudacris hypochondriaca,Native,Amphibian,Animal
Quercus agrifolia,Native,Plant,Animal
Quiscalus mexicanus,Native,Avian,Animal
Rhus integrifolia,Native,Plant,Plant
Rhus ovata,Native,Plant,Plant
Rosa californica,Native,Plant,Plant
Salvia apiana,Native,Plant,Plant
Salvia leucophylla,Native,Plant,Plant
Salvia mellifera,Native,Plant,Plant
Sayornis nigricans,Native,Avian,Animal
Sayornis saya,Native,Avian,Animal
Sceloporus occidentalis,Native,Reptile,Animal
Sciurus griseus,Native,Mammal,Animal
Selasphorus sasin,Native,Avian,Animal
Setophaga coronata,Native,Avian,Animal
Sialia mexicana,Native,Avian,Animal
Spinus psaltria,Native,Avian,Animal
Stelgidopteryx serripennis,Native,Avian,Animal
Strymon melinus,Native,Insect,Animal
Sylvilagus audubonii,Native,Mammal,Animal
Thomomys bottae,Native,Mammal,Animal
Toxicodendron diversilobum,Native,Plant,Plant
Trifolium repens,Native,Plant,Plant
Tropaeolum majus,Native,Plant,Plant
Turdus migratorius,Native,Avian,Animal
Tyrannus verticalis,Native,Avian,Animal
Tyrannus vociferans,Native,Avian,Animal
Uta stansburiana,Native,Reptile,Animal
Vanessa atalanta,Native,Insect,Animal
Vanessa cardui,Native,Insect,Animal
Venegasia carpesioides,Native,Plant,Plant
Xanthium strumarium,Native,Plant,Plant
Xylocopa sonorina,Native,Insect,Animal
Zenaida macroura,Native,Avian,Animal
Zonotrichia leucophrys,Native,Avian,Animal